127.0.0.1 - - [04/May/2022:07:25:37 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [04/May/2022:07:28:28 -0300] "GET /gerenciador/listaEmpresas HTTP/1.1" 500 3566
0:0:0:0:0:0:0:1 - - [04/May/2022:07:29:36 -0300] "GET /gerenciador/listaEmpresas HTTP/1.1" 200 380
0:0:0:0:0:0:0:1 - - [04/May/2022:07:32:44 -0300] "GET /gerenciador/listaEmpresas HTTP/1.1" 200 358
0:0:0:0:0:0:0:1 - - [04/May/2022:07:35:03 -0300] "GET /gerenciador/listaEmpresas HTTP/1.1" 200 350
0:0:0:0:0:0:0:1 - - [04/May/2022:07:37:27 -0300] "GET /gerenciador/formNovaEmpresa.jsp HTTP/1.1" 200 415
0:0:0:0:0:0:0:1 - - [04/May/2022:07:38:03 -0300] "GET /gerenciador/formNovaEmpresa.jsp HTTP/1.1" 200 429
0:0:0:0:0:0:0:1 - - [04/May/2022:07:38:05 -0300] "GET /gerenciador/formNovaEmpresa.jsp HTTP/1.1" 200 429
0:0:0:0:0:0:0:1 - - [04/May/2022:07:39:39 -0300] "GET /gerenciador/formNovaEmpresa.jsp HTTP/1.1" 200 415
0:0:0:0:0:0:0:1 - - [04/May/2022:07:39:46 -0300] "POST /gerenciador/novaEmpresa HTTP/1.1" 200 119
0:0:0:0:0:0:0:1 - - [04/May/2022:07:40:36 -0300] "POST /gerenciador/novaEmpresa HTTP/1.1" 200 107
0:0:0:0:0:0:0:1 - - [04/May/2022:07:40:43 -0300] "POST /gerenciador/novaEmpresa HTTP/1.1" 200 107
0:0:0:0:0:0:0:1 - - [04/May/2022:07:59:00 -0300] "GET /gerenciador/formNovaEmpresa.jsp HTTP/1.1" 200 415
0:0:0:0:0:0:0:1 - - [04/May/2022:07:59:13 -0300] "POST /gerenciador/novaEmpresa HTTP/1.1" 200 107
0:0:0:0:0:0:0:1 - - [04/May/2022:07:59:20 -0300] "GET /gerenciador/listaEmpresas HTTP/1.1" 200 409
